business_name,category,borough,latitude,longitude,poi_type,description
NEW RAINBOW RESTAURANT,chinese,BRONX,40.88593688333,-73.86148474979,restaurant,chinese restaurant in BRONX
HOME SWEET HARLEM,american,MANHATTAN,40.81923369873,-73.95200201527,restaurant,american restaurant in MANHATTAN
LORENZO'S PIZZERIA,pizza,BRONX,40.829205658,-73.89187353614,restaurant,pizza restaurant in BRONX
WONDEREN STROOPWAFFELS,bakery products/desserts,MANHATTAN,40.75209393316,-73.97760435438,restaurant,bakery products/desserts restaurant in MANHATTAN
MCDONALD'S,hamburgers,BROOKLYN,40.73038965288,-73.9542708113,restaurant,hamburgers restaurant in BROOKLYN
DUNKIN',donuts,MANHATTAN,40.71721016221,-74.00060243477,restaurant,donuts restaurant in MANHATTAN
MCDONALD'S,hamburgers,BROOKLYN,40.68442993938,-73.97772451861,restaurant,hamburgers restaurant in BROOKLYN
POPEYES,chicken,BROOKLYN,40.59832166005,-73.96096214492,restaurant,chicken restaurant in BROOKLYN
ROYAL ROOSTER HOTPOT,other,QUEENS,40.77083142946,-73.73536390264,restaurant,other restaurant in QUEENS
SUSHI MIKASA,japanese,BROOKLYN,40.59406646638,-73.95875740337,restaurant,japanese restaurant in BROOKLYN
WONDER WORLD NUTRITION (HERBALIFE),"juice, smoothies, fruit salads",QUEENS,40.74421980414,-73.8612175473,restaurant,"juice, smoothies, fruit salads restaurant in QUEENS"
NERAI,haute cuisine,MANHATTAN,40.76011042274,-73.97316168513,restaurant,haute cuisine restaurant in MANHATTAN
UPTOWN VEG II,vegan,MANHATTAN,40.80937934426,-73.94432194229,restaurant,vegan restaurant in MANHATTAN
YUANWEI BUN,chinese,QUEENS,40.76138995805,-73.83356665244,restaurant,chinese restaurant in QUEENS
ESQUIRE DINER,american,QUEENS,40.67928700341,-73.84434320486,restaurant,american restaurant in QUEENS
MAD DOG & BEANS MEXICAN CANTINA,mexican,MANHATTAN,40.75073882625,-73.98219934436,restaurant,mexican restaurant in MANHATTAN
LE MARAIS,jewish/kosher,MANHATTAN,40.75797697788,-73.98367734277,restaurant,jewish/kosher restaurant in MANHATTAN
LE PETIT CAFE,american,BROOKLYN,40.67669457438,-73.99863723673,restaurant,american restaurant in BROOKLYN
EL RUMBERO,latin american,QUEENS,40.75557669064,-73.88520046863,restaurant,latin american restaurant in QUEENS
POPEYES,chicken,BRONX,40.86644068855,-73.86116034805,restaurant,chicken restaurant in BRONX
JANCHI MYEONGA,korean,QUEENS,40.76324870862,-73.81424539177,restaurant,korean restaurant in QUEENS
FAIRFIELD INN & SUITES BY MARRIOTT,continental,STATEN ISLAND,40.58700805051,-74.19135787554,restaurant,continental restaurant in STATEN ISLAND
MG 54 BAR AND LOUNGE,spanish,BRONX,40.84588232449,-73.92190367996,restaurant,spanish restaurant in BRONX
EVERYDAY CHINESE RESTAURANT,chinese,BROOKLYN,40.69709699997,-73.90675906108,restaurant,chinese restaurant in BROOKLYN
SOFRA MEDITERRANEAN GRILL,mediterranean,QUEENS,40.74273244675,-73.91879519713,restaurant,mediterranean restaurant in QUEENS
MCDONALD'S,hamburgers,BRONX,40.8416942796,-73.90431482649,restaurant,hamburgers restaurant in BRONX
ALADDIN HOOKAH LOUNGE,middle eastern,QUEENS,40.76753459689,-73.91201389271,restaurant,middle eastern restaurant in QUEENS
BURGERS BAR,jewish/kosher,BROOKLYN,40.61402804557,-73.96312840963,restaurant,jewish/kosher restaurant in BROOKLYN
JULLIARD DIAMOND COFFEE BAR,coffee/tea,MANHATTAN,40.77361933627,-73.9835904533,restaurant,coffee/tea restaurant in MANHATTAN
SISTER'S & FAMILY RESTAURANT,african,BROOKLYN,40.6698873868,-73.90937469655,restaurant,african restaurant in BROOKLYN
SABOR LATINO SEAFOOD RESTAURANT,seafood,BRONX,40.83627146606,-73.85307063863,restaurant,seafood restaurant in BRONX
SWEETGREEN,salads,MANHATTAN,40.7460699706,-73.98209232778,restaurant,salads restaurant in MANHATTAN
SIZZLE SHAWARMA & FALAFEL BAR,jewish/kosher,QUEENS,40.72870803375,-73.78270685308,restaurant,jewish/kosher restaurant in QUEENS
BLUESTONE LANE,australian,BROOKLYN,40.7006970481,-73.98846281659,restaurant,australian restaurant in BROOKLYN
CREPE HOUSE,pancakes/waffles,BRONX,40.84491858359,-73.86759561253,restaurant,pancakes/waffles restaurant in BRONX
BOWERY BUNGALOW,middle eastern,MANHATTAN,40.72313059702,-74.00263724004,restaurant,middle eastern restaurant in MANHATTAN
SALT & PEPPER GOURMET,american,MANHATTAN,40.74117141337,-73.98872643314,restaurant,american restaurant in MANHATTAN
BRASS MONKEY,american,MANHATTAN,40.74055133043,-74.00857418201,restaurant,american restaurant in MANHATTAN
REIF'S TAVERN,american,MANHATTAN,40.78151113898,-73.94857730019,restaurant,american restaurant in MANHATTAN
